duplicate_group_id,duplicate_status_repaired,duplicate_match_level,duplicate_keep,listing_id,source,source_listing_id,url,city,neighborhood_clean,surface_m2,price_mad,bedrooms,bathrooms,title_raw,source_record_path
confirmed-d84362ef8b7b,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:6c9a59f8db8620f786a07f60,mubawab.ma,,,Rabat,Riyad,218.0,3700000.0,4.0,3.0,Vente Appartement Rabat Hay Riad,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-db401bfcf8b6,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:8322974,mubawab.ma,8322974.0,https://www.mubawab.ma/fr/a/8322974/luxe-face-%C3%A0-la-mer-118m%C2%B2-%E2%80%93-meubl%C3%A9-%C3%A9quip%C3%A9,El Jadida,Centre ville,118.0,1350000.0,3.0,1.0,Luxe Face à la Mer 118m² – Meublé & Équipé,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-db401bfcf8b6,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:e87067bbd837b879e1e9e419,mubawab.ma,,,El Jadida,Centre ville,118.0,1350000.0,3.0,1.0,Luxe Face à la Mer 118m² – Meublé & Équipé,git:HEAD:data/raw/maisonlux_maroc_complet.csv
confirmed-f21be51b1ad3,unique,C_exact_fingerprint_and_title_cross_batch,True,mubawab.ma:native:7859861,mubawab.ma,7859861.0,https://www.mubawab.ma/fr/a/7859861/vente-appartement-rabat-haut-agdal,Rabat,Agdal,181.0,3500000.0,3.0,2.0,Vente Appartement Rabat Haut Agdal,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
confirmed-f21be51b1ad3,confirmed_duplicate,C_exact_fingerprint_and_title_cross_batch,False,mubawab.ma:content:bf35b43802af6d78bf82cad5,mubawab.ma,,,Rabat,Agdal,181.0,3500000.0,3.0,2.0,Vente Appartement Rabat Haut Agdal,git:HEAD:data/raw/maisonlux_maroc_complet.csv
possible-005f90105c74,possible_duplicate,C_exact_structured_fingerprint,True,mubawab.ma:native:8005114,mubawab.ma,8005114.0,https://www.mubawab.ma/fr/a/8005114/appartement-%C3%A0-vendre-%C3%A0-wiam-oulfa-meubl%C3%A9-100m%C2%B2,Casablanca,Oulfa,100.0,1300000.0,2.0,2.0,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv
possible-005f90105c74,possible_duplicate,C_exact_structured_fingerprint,True,mubawab.ma:content:25c39b6ea3ec567f6d784d13,mubawab.ma,,,Casablanca,Oulfa,100.0,1300000.0,2.0,2.0,Appartement à vendre à wiam oulfa meublé 100m²,git:HEAD:data/raw/maisonlux_maroc_complet.csv
possible-00685c5b12ed,possible_duplicate,C_exact_structured_fingerprint,True,mubawab.ma:content:4c0c324e111a23599bb4a514,mubawab.ma,,,Casablanca,Gauthier,44.0,1200000.0,1.0,1.0,"Appartement à Vendre de 44.0 m² à Casablanca, Gauthier",git:HEAD:data/raw/maisonlux_maroc_complet.csv
possible-00685c5b12ed,possible_duplicate,C_exact_structured_fingerprint,True,mubawab.ma:content:618aa7856addb5e4ca51cd23,mubawab.ma,,,Casablanca,Gauthier,44.0,1200000.0,1.0,1.0,Vivez le Luxe Urbain ROOFTOP à Gauthier,git:HEAD:data/raw/maisonlux_maroc_complet.csv
possible-00735bd9d623,possible_duplicate,C_exact_structured_fingerprint,True,mubawab.ma:native:8264120,mubawab.ma,8264120.0,https://www.mubawab.ma/fr/a/8264120/appartement-%C3%A0-vendre-135-m%C2%B2-3-chambres-belv%C3%A9d%C3%A8re-casablanca,Casablanca,Belvédère,135.0,1690000.0,3.0,2.0,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv
possible-00735bd9d623,possible_duplicate,C_exact_structured_fingerprint,True,mubawab.ma:content:87ccd2135b3686df9eb16cc3,mubawab.ma,,,Casablanca,Belvédère,135.0,1690000.0,3.0,2.0,"Appartement à vendre 135 m², 3 chambres Belvédère Casablanca",git:HEAD:data/raw/maisonlux_maroc_complet.csv
possible-007d3b0154d7,possible_duplicate,C_exact_structured_fingerprint,True,mubawab.ma:native:8273282,mubawab.ma,8273282.0,https://www.mubawab.ma/fr/a/8273282/urgent-a-vendre-a-ain-sebaa,Casablanca,Aïn Sebaâ,144.0,16000000.0,4.0,2.0,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv
possible-007d3b0154d7,possible_duplicate,C_exact_structured_fingerprint,True,mubawab.ma:content:61fc7bd18c292fff0508f85a,mubawab.ma,,,Casablanca,Aïn Sebaâ,144.0,16000000.0,4.0,2.0,Urgent a vendre a ain sebaa,git:HEAD:data/raw/maisonlux_maroc_complet.csv
possible-010b20a7af4f,possible_duplicate,C_exact_structured_fingerprint,True,mubawab.ma:native:8287119,mubawab.ma,8287119.0,https://www.mubawab.ma/fr/a/8287119/appartement-%C3%A0-vendre-de-165-0-m%C2%B2-%C3%A0-casablanca-les-princesses,Casablanca,Les princesses,165.0,1950000.0,3.0,3.0,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv
possible-010b20a7af4f,possible_duplicate,C_exact_structured_fingerprint,True,mubawab.ma:content:1788850342a0ad088bb081fe,mubawab.ma,,,Casablanca,Les princesses,165.0,1950000.0,3.0,3.0,"Appartement à Vendre de 165.0 m² à Casablanca, Les Princesse...",git:HEAD:data/raw/maisonlux_maroc_complet.csv
