listing_id,outlier_decision,outlier_reasons,batch_id,property_type_repaired,city,surface_m2,price_mad,price_per_m2,bedrooms,bathrooms,title_raw,price_raw,url
mubawab.ma:native:8334716,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,El Jadida,67.0,7400000.0,110447.76,2.0,1.0,,,https://www.mubawab.ma/fr/a/8334716/appartement-en-vente-%C3%A0-najmat-al-janoub-2-chambres
mubawab.ma:native:8335085,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Agadir,112.0,11450000.0,102232.14,3.0,2.0,,,https://www.mubawab.ma/fr/a/8335085/vend-appartement-%C3%A0-hay-houda-3-belles-chambres-parking-et-ascenseur
mubawab.ma:native:8335773,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Bouskoura,102.0,7836000.0,76823.53,2.0,2.0,,,https://www.mubawab.ma/fr/a/8335773/appartement-neuf-%C3%A0-vendre-%C3%A0-bouskoura-victoria
mubawab.ma:native:8337291,uncertain,price_per_m2_above_reference_p99,recovery_misplaced_notebook,maison,Casablanca,99.0,4500000.0,45454.55,6.0,5.0,,,https://www.mubawab.ma/fr/a/8337291/maison-oulfa-sur-boulevard-commercial
mubawab.ma:native:8338108,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,130.0,11850000.0,91153.85,3.0,2.0,,,https://www.mubawab.ma/fr/a/8338108/appartement-%C3%A0-vendre-%C3%A0-californie-3-belles-chambres
mubawab.ma:native:8339117,uncertain,price_above_p99|price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Bouskoura,243.0,14800000.0,60905.35,3.0,2.0,,,https://www.mubawab.ma/fr/a/8339117/appartement-%C3%A0-l-achat-%C3%A0-ville-verte-4-pi%C3%A8ces
mubawab.ma:native:8339121,uncertain,price_above_p99|price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Casablanca,343.0,17800000.0,51895.04,4.0,4.0,,,https://www.mubawab.ma/fr/a/8339121/vente-d-un-bel-appartement-%C3%A0-triangle-d-or-5-pi%C3%A8ces
mubawab.ma:native:8339791,uncertain,price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Casablanca,62.0,3400000.0,54838.71,3.0,1.0,,,https://www.mubawab.ma/fr/a/8339791/bel-appartement-%C3%A0-vendre-%C3%A0-bernoussi-surface-de-62-m%C2%B2
mubawab.ma:native:8342125,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,75.0,6520000.0,86933.33,3.0,1.0,,,https://www.mubawab.ma/fr/a/8342125/appartement-a-vendre-a-anassi-1er-etage
mubawab.ma:native:8342322,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Agadir,114.0,11200000.0,98245.61,3.0,2.0,,,https://www.mubawab.ma/fr/a/8342322/appartement-a-vendre-a-hay-salam-imm-priv%C3%A9
