listing_id,repair_exclusion_reason,duplicate_group_id,outlier_decision,outlier_reasons,source_record_path,city,property_type_repaired,surface_m2,price_mad,price_per_m2,title_raw,price_raw,url
mubawab.ma:native:8221147,probable_parsing_error,,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Berrechid,appartement,107.0,11560000.0,108037.38,,,https://www.mubawab.ma/fr/a/8221147/superbe-appartement-%C3%A0-vendre-%C3%A0-berrechid-4-pi%C3%A8ces-confortables-porte-blind%C3%A9e-s%C3%A9curit%C3%A9
mubawab.ma:native:8224868,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Khouribga,appartement,90.0,7540000.0,83777.78,,,https://www.mubawab.ma/fr/a/8224868/joli-appartement-au-rdc-90m-%C3%A0-khouribga-2chambres-salon
mubawab.ma:native:8226043,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Berrechid,appartement,78.0,7390000.0,94743.59,,,https://www.mubawab.ma/fr/a/8226043/bel-appartement-ensoleill%C3%A9-%C3%A0-berrechid
mubawab.ma:native:8229125,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,55.0,5385000.0,97909.09,,,https://www.mubawab.ma/fr/a/8229125/%C3%A0-vendre-%E2%80%93-apt-de-55-m%C2%B2-a-kasbat-amine-lissasfa
mubawab.ma:native:8237269,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,El Jadida,appartement,66.0,8550000.0,129545.45,,,https://www.mubawab.ma/fr/a/8237269/superbe-appartement-%C3%A0-vendre-%C3%A0-najmat-al-janoub-4-grandes-pi%C3%A8ces
mubawab.ma:native:8237528,probable_parsing_error,,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Agadir,appartement,80.0,11390000.0,142375.0,,,https://www.mubawab.ma/fr/a/8237528/superbe-appartement-%C3%A0-vendre-%C3%A0-anza-surface-de-80-m%C2%B2-avec-ascenseur-et-terrasse
mubawab.ma:native:8240826,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,El Jadida,appartement,122.0,10850000.0,88934.43,,,https://www.mubawab.ma/fr/a/8240826/appartement-%C3%A0-vendre-el-jadida
mubawab.ma:native:8242436,probable_parsing_error,,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Casablanca,appartement,102.0,11770000.0,115392.16,,,https://www.mubawab.ma/fr/a/8242436/appartement-en-vente-%C3%A0-ma%C3%A2rif-extension-4-belles-chambres
mubawab.ma:native:8243540,probable_parsing_error,,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,El Jadida,appartement,84.0,10780000.0,128333.33,,,https://www.mubawab.ma/fr/a/8243540/bel-appartement-%C3%A0-vendre-%C3%A0-ennajd-superficie-84-m%C2%B2-salon-traditionnel-marocain-r%C3%A9sidence-s%C3%A9curis%C3%A9e
mubawab.ma:native:8243587,probable_parsing_error,possible-ce71c3105602,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,Agadir,unknown,120.0,9500000.0,79166.67,,,https://www.mubawab.ma/fr/a/8243587/apptement-a-vendre-%C3%A0-hay-mohammadi
