listing_id,source,source_listing_id,city,neighborhood,region,latitude,longitude,surface_m2,bedrooms,bathrooms,furnished_status,parking,balcony,sea_view,price_mad,price_per_m2,property_type,transaction_type,publication_date,publication_date_status,scraped_at,url,validation_status,validation_reasons,deduplication_status,duplicate_of,title_raw,price_raw,location_raw,details_raw,source_record_path
mubawab.ma:content:864c7aa8447b62fcc4cb3624,mubawab.ma,,Marrakech,Boulevard Med 6,Marrakech-Safi,,,78.0,2.0,2.0,unknown,unknown,unknown,unknown,2250000.0,28846.15,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Appartement Front De Golf A Prestigia,2 250 000 DH,"Boulevard Med 6, Marrakech",78 m² 5 Pièces 2 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:5f4c9fb3893c440987abb4a6,mubawab.ma,,Marrakech,Hay Mabrouka,Marrakech-Safi,,,53.0,2.0,1.0,unknown,unknown,unknown,unknown,630000.0,11886.79,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Appartement 2 chambres résidence Bassatine Targa,630 000 DH,"Hay Mabrouka, Marrakech",53 m² 6 Pièces 2 Chambres 1 Salle de bain,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:3be9822569543ea5288acc69,mubawab.ma,,Tanger,Casabarata,Tangier-Tetouan-Al Hoceima,,,200.0,5.0,2.0,unknown,unknown,unknown,unknown,2200000.0,11000.0,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Appt 200m² 5 ch Casabarata terrasse,2 200 000 DH,"Casabarata, Tanger",200 m² 8 Pièces 5 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:native:8004847,mubawab.ma,8004847,Casablanca,Burger,Casablanca-Settat,,,110.0,2.0,1.0,furnished,unknown,unknown,unknown,1100000.0,10000.0,appartement,sale,,unknown,Wed Sep 02 2026 12:38:12 GMT+0100 (UTC+01:00),https://www.mubawab.ma/fr/a/8004847/appartement-%C3%A0-vendre-de-110-0-m%C2%B2-%C3%A0-casablanca-burger,valid,,unique,,,,,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv
mubawab.ma:content:d5231168a35d9b635862fefa,mubawab.ma,,Casablanca,Racine,Casablanca-Settat,,,264.0,3.0,3.0,unknown,unknown,unknown,unknown,4850000.0,18371.21,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Appartement Moliere,4 850 000 DH,"Racine, Casablanca",264 m² 5 Pièces 3 Chambres 3 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:c084729177b420a7d527995e,mubawab.ma,,Casablanca,Franceville,Casablanca-Settat,,,103.0,3.0,2.0,unknown,unknown,unknown,unknown,1853000.0,17990.29,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Appartement de prestige à vendre – 103 m²,1 853 000 DH,"Franceville, Casablanca",103 m² 4 Pièces 3 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:54de09fce40c9ad2aab44a0b,mubawab.ma,,Tanger,Ziaten,Tangier-Tetouan-Al Hoceima,,,100.0,3.0,2.0,unknown,unknown,yes,unknown,1600000.0,16000.0,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Appart Neuf 3 chambres Stade Tanger Balcon,1 600 000 DH,"Ziaten, Tanger",100 m² 4 Pièces 3 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:69fffbbaedb9732b1b97229a,mubawab.ma,,Casablanca,Oulfa,Casablanca-Settat,,,91.0,2.0,1.0,unknown,unknown,unknown,unknown,750000.0,8241.76,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,"Appartement à vendre 91 m², 2 chambres Oulfa Casablanca",750 000 DH,"Oulfa, Casablanca",91 m² 2 Chambres 1 Salle de bain,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:native:8291035,mubawab.ma,8291035,Casablanca,Bourgogne Ouest,Casablanca-Settat,,,104.0,2.0,2.0,furnished,yes,yes,unknown,1900000.0,18269.23,appartement,sale,,unknown,Wed Sep 02 2026 12:15:39 GMT+0100 (UTC+01:00),https://www.mubawab.ma/fr/a/8291035/appartement-%C3%A0-vendre-104-m%C2%B2-2-chambres-bourgogne-ouest-casablanca,valid,,unique,,,,,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv
mubawab.ma:native:8303554,mubawab.ma,8303554,Casablanca,Maârif,Casablanca-Settat,,,300.0,3.0,1.0,furnished,yes,yes,unknown,20000000.0,66666.67,appartement,sale,,unknown,Wed Sep 02 2026 12:05:06 GMT+0100 (UTC+01:00),https://www.mubawab.ma/fr/a/8303554/immeuble-r5-au-maarif-14appartements-6magasins,valid,,unique,,,,,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv
